availability,avgDailyPrice.amount,avgDailyPrice.currency,completedTrips,hostId,id,isAllStarHost,isFavoritedBySearcher,isNewListing,location.city,location.isDelivery,location.locationId,location.locationSlugs.en_CA,location.state,make,model,rating,seoCategory,tags[0].label,tags[0].type,tags[1].label,tags[1].type,tags[2].label,tags[2].type,type,year
,43.33,USD,58,22416943,2207732,True,False,False,Cypress,False,,cypress-ca,CA,Kia,Sorento,5.0,SUV,,,,,,,SUV,2019
,22.8,USD,76,39073589,2441723,True,False,False,Diamond Bar,False,,diamond-bar-ca,CA,FIAT,500,4.9655,CAR,,,,,,,CAR,2017
,32.0,USD,16,3208774,2835988,True,False,False,Alhambra,False,,alhambra-ca,CA,Mazda,Mazda5,5.0,MINIVAN,,,,,,,PASSENGER_MINIVAN,2012
,47.1,USD,46,10936654,2676894,True,False,False,Monterey Park,False,,monterey-park-ca,CA,Nissan,Rogue,4.9744,SUV,,,,,,,SUV,2019
,39.77,USD,1,46031807,2973788,False,False,True,Montebello,False,,montebello-ca,CA,Toyota,Camry Hybrid,5.0,CAR,,,,,,,CAR,2025
,53.83,USD,4,32711500,2479520,True,False,False,City of Industry,False,,city-of-industry-ca,CA,Nissan,Armada,5.0,SUV,,,,,,,SUV,2023
,33.0,USD,6,1082244,2937470,True,False,False,Cerritos,False,,cerritos-ca,CA,Chevrolet,Bolt EV,5.0,CAR,,,,,,,CAR,2021
,28.2,USD,13,34913156,2767160,False,False,False,Long Beach,False,,long-beach-ca,CA,Chevrolet,Bolt EUV,5.0,SUV,Unlimited miles,UNLIMITED_MILEAGE,,,,,SUV,2023
,35.93,USD,24,5032765,2576667,True,False,False,Walnut,False,,walnut-ca,CA,Mazda,CX-30,5.0,SUV,,,,,,,SUV,2024
,44.1,USD,20,43779446,2777136,True,False,False,El Monte,False,,el-monte-ca,CA,Toyota,Sienna,5.0,MINIVAN,,,,,,,PASSENGER_MINIVAN,2015
,71.57,USD,48,38237749,2393640,True,False,False,Lynwood,False,,lynwood-ca,CA,Chevrolet,Corvette,4.9756,CAR,,,,,,,CAR,2019
,44.97,USD,20,15196874,2696299,True,False,False,West Covina,False,,west-covina-ca,CA,Toyota,Sienna,5.0,MINIVAN,Unlimited miles,UNLIMITED_MILEAGE,,,,,PASSENGER_MINIVAN,2014
,63.24,USD,14,21171969,2796331,False,False,False,Brea,False,,brea-ca,CA,Dodge,Challenger,5.0,CAR,,,,,,,CAR,2019
,39.9,USD,37,31005324,2083341,True,False,False,Whittier,False,,whittier-ca,CA,Ford,Focus,4.9677,CAR,,,,,,,CAR,2015
,55.42,USD,42,38436376,2534736,True,False,False,Montebello,False,,montebello-ca,CA,Chevrolet,Blazer,4.8333,SUV,Unlimited miles,UNLIMITED_MILEAGE,,,,,SUV,2023
,31.5,USD,20,28979204,2822497,True,False,False,Long Beach,False,,long-beach-ca,CA,Mazda,CX-5,5.0,SUV,,,,,,,SUV,2023
,36.0,USD,14,20396269,2596843,True,False,False,Brea,False,,brea-ca,CA,Toyota,Prius,5.0,CAR,,,,,,,CAR,2015
,53.0,USD,16,27927811,2736705,True,False,False,Montebello,False,,montebello-ca,CA,Mercedes-Benz,GLC-Class,5.0,SUV,Unlimited miles,UNLIMITED_MILEAGE,App unlock,TURO_GO,,,SUV,2021
,33.57,USD,23,16220819,2688883,True,False,False,La Puente,False,,la-puente-ca,CA,Ford,Focus,4.9524,CAR,,,,,,,CAR,2015
,45.6,USD,13,43533127,2754140,True,False,False,Artesia,False,,artesia-ca,CA,Jeep,Wrangler Unlimited,5.0,SUV,,,,,,,SUV,2021
,43.7,USD,2,34704233,2970633,True,False,True,Bellflower,False,,bellflower-ca,CA,Honda,Accord,5.0,CAR,,,,,,,CAR,2022
,57.0,USD,53,10936654,2637808,True,False,False,Monterey Park,False,,monterey-park-ca,CA,Tesla,Model 3,5.0,CAR,App unlock,TURO_GO,,,,,CAR,2019
,48.9,USD,4,46025165,2964113,False,False,False,Diamond Bar,False,,diamond-bar-ca,CA,Tesla,Model Y,5.0,SUV,,,,,,,SUV,2025
,46.88,USD,52,22655935,1895228,True,False,False,La Puente,False,,la-puente-ca,CA,Tesla,Model 3,4.9762,CAR,,,,,,,CAR,2019
,59.22,USD,21,29859606,2641841,True,False,False,La Habra,False,,la-habra-ca,CA,Ford,Expedition,5.0,SUV,,,,,,,SUV,2019
,39.0,USD,33,34107504,2364480,True,False,False,West Covina,False,,west-covina-ca,CA,Ford,Fusion,5.0,CAR,,,,,,,CAR,2020
,40.0,USD,53,1160678,2651740,True,False,False,Downey,False,,downey-ca,CA,Nissan,Murano,5.0,SUV,,,,,,,SUV,2017
,40.0,USD,29,1160678,2785011,True,False,False,Downey,False,,downey-ca,CA,Hyundai,Santa Fe Sport,5.0,SUV,,,,,,,SUV,2017
,49.0,USD,54,38011829,2363552,True,False,False,Rosemead,False,,rosemead-ca,CA,Mazda,CX-9,5.0,SUV,,,,,,,SUV,2022
,42.6,USD,31,23002983,2663705,True,False,False,Anaheim,False,,anaheim-ca,CA,Toyota,Camry,5.0,CAR,,,,,,,CAR,2024
,37.05,USD,8,43533127,2929658,True,False,False,Artesia,False,,artesia-ca,CA,Lexus,IS,5.0,CAR,,,,,,,CAR,2014
,35.4,USD,21,29845586,2769567,True,False,False,Artesia,False,,artesia-ca,CA,Lexus,ES,4.85,CAR,,,,,,,CAR,2015
,34.0,USD,0,44181705,2990927,False,False,True,La Habra,False,,la-habra-ca,CA,Chevrolet,Spark,,CAR,,,,,,,CAR,2016
,45.33,USD,93,22416943,2205586,True,False,False,Cypress,False,,cypress-ca,CA,Toyota,Camry,5.0,CAR,,,,,,,CAR,2021
,62.7,USD,11,34476727,2822533,False,False,False,Cypress,False,,cypress-ca,CA,GMC,Yukon,5.0,SUV,,,,,,,SUV,2021
,61.75,USD,21,15196874,2588417,True,False,False,West Covina,False,,west-covina-ca,CA,Mercedes-Benz,GLE-Class,4.95,SUV,,,,,,,SUV,2020
,30.0,USD,15,41768623,2849965,True,False,False,Los Angeles,False,,los-angeles-ca,CA,Hyundai,Elantra,4.9,CAR,,,,,,,CAR,2020
,55.42,USD,128,16220819,1473130,True,False,False,La Puente,False,,la-puente-ca,CA,Chevrolet,Silverado 1500,4.9709,TRUCK,,,,,,,TRUCK,2022
,37.37,USD,0,21948404,2987932,True,False,True,Monterey Park,False,,monterey-park-ca,CA,Toyota,Prius,,CAR,,,,,,,CAR,2024
,29.7,USD,42,30666055,1879577,False,False,False,Glendale,False,,glendale-ca,CA,Toyota,Camry,4.9714,CAR,,,,,,,CAR,2023
,34.65,USD,6,36085727,2894858,True,False,False,Fullerton,False,,fullerton-ca,CA,Chevrolet,Equinox,5.0,SUV,,,,,,,SUV,2013
,25.2,USD,10,30987721,2814339,True,False,False,Garden Grove,False,,garden-grove-ca,CA,smart,fortwo electric drive,4.5,CAR,Unlimited miles,UNLIMITED_MILEAGE,,,,,CAR,2017
,26.0,USD,29,3999192,2567817,True,False,False,Glendale,False,,glendale-ca,CA,Volkswagen,Jetta,4.96,CAR,Unlimited miles,UNLIMITED_MILEAGE,App unlock,TURO_GO,,,CAR,2021
,79.2,USD,63,6095601,1428914,True,False,False,Hacienda Heights,False,,hacienda-heights-ca,CA,Toyota,Sienna,5.0,MINIVAN,,,,,,,PASSENGER_MINIVAN,2022
